iter	RMSE
0	531.6640791
1	512.1915475
2	495.7965437
3	476.7998246
4	458.5873674
5	441.1950593
6	424.477632
7	409.5688137
8	393.4648637
9	379.2301056
10	365.7252346
11	352.051806
12	339.6946049
13	327.9582084
14	317.3425519
15	306.3809172
16	295.8670309
17	284.5275902
18	275.1648523
19	266.5262992
20	257.8748958
21	250.8855873
22	243.8050997
23	235.1003802
24	227.5788432
25	219.5525491
26	213.6232543
27	205.9259524
28	199.798236
29	193.3995632
30	187.4117444
31	182.1959892
32	177.6200329
33	172.8407001
34	167.6222585
35	162.9091297
36	158.4346248
37	153.8054954
38	149.9058721
39	145.8921137
40	141.5351008
41	137.90012
42	134.2243253
43	131.0974015
44	128.1634868
45	125.0044452
46	121.996965
47	119.1789161
48	116.464402
49	113.863239
50	111.3945337
51	108.8083384
52	106.4205933
53	103.4846245
54	101.1424165
55	98.70921379
56	96.86363903
57	95.26225013
58	93.58783189
59	91.66559091
60	90.09091651
61	88.85137271
62	86.81859151
63	84.86295822
64	83.52635139
65	82.5496543
66	80.74950363
67	79.07270026
68	78.20684595
69	77.22669477
70	75.71790926
71	74.17968824
72	72.69211182
73	71.91836099
74	71.1946318
75	70.54924101
76	69.09992551
77	68.52460947
78	67.22636656
79	65.91906942
80	65.42780143
81	64.22067183
82	63.73282372
83	62.5740674
84	61.38207225
85	60.22062247
86	59.13318082
87	58.06354544
88	57.00923049
89	55.95478989
90	54.91421045
91	53.92881333
92	52.97708473
93	52.02436165
94	51.08332709
95	50.15760322
96	49.23379313
97	48.3620739
98	47.49869683
99	46.66307167
