iter	Passed	Remaining
0	68	6756
1	71	3504
2	74	2412
3	78	1892
4	82	1566
5	85	1337
6	88	1177
7	91	1057
8	94	957
9	97	877
10	100	813
11	103	756
12	105	708
13	108	668
14	112	635
15	114	602
16	120	588
17	123	562
18	131	560
19	134	537
20	137	517
21	140	498
22	143	481
23	147	465
24	149	449
25	152	434
26	155	421
27	158	406
28	160	393
29	164	382
30	166	371
31	169	360
32	172	350
33	175	341
34	178	331
35	181	322
36	184	314
37	187	305
38	190	297
39	193	290
40	196	283
41	199	275
42	202	268
43	205	261
44	208	255
45	211	248
46	215	242
47	218	236
48	222	231
49	227	227
50	230	221
51	233	215
52	236	210
53	241	205
54	244	199
55	247	194
56	249	188
57	252	182
58	255	177
59	258	172
60	260	166
61	263	161
62	266	156
63	269	151
64	271	146
65	274	141
66	277	136
67	280	131
68	282	126
69	285	122
70	288	117
71	290	113
72	293	108
73	296	104
74	299	99
75	313	98
76	324	96
77	329	92
78	337	89
79	341	85
80	351	82
81	355	78
82	358	73
83	360	68
84	363	64
85	366	59
86	369	55
87	372	50
88	374	46
89	377	41
90	380	37
91	383	33
92	385	29
93	388	24
94	390	20
95	393	16
96	396	12
97	398	8
98	401	4
99	404	0
