date,vibro,oxygen,temperature
1657886906,1023,373,61
1657886909,1023,371,67
1657886912,1023,366,65
1657886915,1023,361,60
1657886918,1023,357,53
1657886921,1023,365,50
1657886924,1023,369,57
1657886927,1023,362,65
1657886930,1023,371,62
1657886933,1023,367,62
1657886936,1023,365,53
1657886939,1023,366,50
1657886942,1023,368,51
1657886946,1023,371,61
1657886949,1023,362,64
1657886964,1023,368,53
1657886966,1023,364,58
1657886968,1023,361,62
1657886970,1023,365,62
1657886972,1023,361,62
1657886974,1023,355,60
1657886976,1023,362,59
1657886978,1023,369,54
1657886980,1023,362,50
1657886982,1023,364,47
1657886984,1023,360,50
1657886986,1023,364,53
1657886988,1023,365,59
1657886990,1023,367,63
1657886992,1023,369,62
1657886994,1023,367,62
1657886996,1023,359,57
1657886998,1023,369,54
1657887000,1023,363,50
1657887002,1023,369,49
1657887004,1023,366,52
1657887006,1023,363,54
1657887008,1023,359,59
1657887010,1023,370,62
1657887012,1023,366,62
1657887014,1023,366,61
1657887016,1023,364,58
1657887019,1023,376,57
1657887021,1023,367,52
1657887023,1023,360,50
1657887025,1023,355,47
1657887027,1021,356,50
1657887029,1023,365,54
1657887031,1023,367,55
1657887033,1023,368,60
1657887035,1023,367,62
1657887037,1023,370,63
1657887039,1023,356,60
1657887041,1023,364,59
1657887043,1023,359,53
1657887045,1023,356,50
1657887047,1023,372,48
1657887049,1023,361,51
1657887051,1023,359,53
1657887053,1023,363,58
1657887055,1023,359,59
1657887057,1021,360,61
1657887059,1013,362,61
1657887061,1023,365,60
1657887063,1023,368,58
1657887065,1023,368,54
1657887067,1023,364,51
1657887069,1023,359,47
1657887071,1023,369,51
1657887073,1023,369,51
1657887075,1023,366,55
1657887078,1023,358,61
1657887080,1023,361,62
1657887082,1023,362,60
1657887084,1023,363,61
1657887086,1023,361,61
1657887088,1023,366,57
1657887090,1023,361,54
1657887092,1023,371,51
1657887094,1023,361,47
1657887096,1022,361,52
1657887098,1023,366,51
1657887100,1023,360,56
1657887102,1023,359,60
1657887104,1023,367,62
1657887106,1023,361,62
1657887108,1023,366,62
1657887110,1022,362,60
1657887112,1023,364,60
1657887114,1023,373,55
1657887116,1023,365,51
1657887118,1023,371,50
1657887120,1023,361,52
1657887122,1023,367,53
1657887124,1023,361,59
1657887126,1023,360,61
1657887128,1023,363,64
1657887130,1023,358,63
1657887132,1023,365,63
1657887135,1023,351,58
1657887137,1023,373,54
1657887139,1023,360,53
1657887141,1023,361,50
1657887143,1023,362,52
1657887145,1023,370,51
1657887147,1023,362,56
1657887149,1023,359,60
1657887151,1023,363,64
1657887153,1023,363,63
1657887155,1023,367,65
1657887157,1023,363,64
1657887159,1023,368,60
1657887161,1023,369,56
1657887163,1017,362,53
1657887165,1023,351,49
1657887167,1023,361,50
1657887169,1023,368,55
1657887171,1023,361,58
1657887173,1023,365,63
1657887175,1023,368,64
1657887177,1023,364,63
1657887179,1023,355,63
1657887181,1022,363,63
1657887183,1023,364,58
1657887185,1023,367,54
1657887187,1023,373,52
1657887189,1023,357,52
1657887191,1023,360,54
1657887193,1023,357,59
1657887195,1023,353,64
1657887198,1023,370,64
1657887200,1023,362,63
1657887202,1023,366,63
1657887204,1023,362,60
1657887206,1023,370,55
1657887208,1023,360,49
1657887210,1023,362,52
1657887212,1023,365,54
1657887214,1023,361,58
1657887216,1022,361,64
1657887218,1023,361,63
1657887220,1023,360,64
1657887222,1023,368,62
1657887224,1023,381,60
1657887226,1023,367,52
1657887228,1023,378,51
1657887230,1023,369,52
1657887232,1023,367,54
1657887234,1022,365,58
1657887236,1023,377,63
1657887238,1023,367,62
1657887240,1023,368,65
1657887242,994,361,61
1657887244,1023,362,58
1657887246,1023,362,55
1657887248,1023,366,49
1657887251,1023,363,55
1657887253,1023,357,56
1657887255,1023,364,59
1657887257,984,362,65
1657887259,1015,355,65
1657887261,1023,362,63
1657887263,1023,374,62
1657887265,1023,366,59
1657887267,1023,364,53
1657887269,1023,369,51
1657887271,1023,371,53
1657887273,1023,367,57
1657887275,1023,367,61
1657887277,1023,362,65
1657887279,1023,353,64
1657887281,1023,366,63
1657887283,1023,367,64
1657887285,1023,376,58
1657887287,1023,366,54
1657887289,1023,370,50
1657887291,1023,367,52
1657887293,1023,356,52
1657887295,1023,360,59
1657887297,1023,354,62
1657887299,1023,374,65
1657887301,1023,369,62
1657887303,1023,363,62
1657887305,1023,368,61
1657887307,1023,357,56
1657887309,1023,353,53
1657887312,1023,368,49
1657887314,1023,365,53
1657887316,1022,359,52
1657887318,1023,365,59
1657887320,1023,360,62
1657887322,1022,356,66
1657887324,1023,366,63
1657887326,1023,361,62
1657887328,1023,357,61
1657887330,1023,367,59
1657887332,1023,366,52
1657887334,1023,372,49
1657887336,1023,359,48
1657887338,1023,355,52
1657887340,1023,372,53
1657887342,1023,371,58
1657887344,1023,363,61
1657887346,1020,368,63
1657887348,1023,364,62
1657887350,1023,363,62
1657887352,1023,367,59
1657887354,1023,362,54
1657887356,1023,357,50
1657887358,1023,362,49
1657887360,1022,356,52
1657887362,1023,364,53
1657887364,1023,359,58
1657887367,1023,370,62
1657887369,1023,361,62
1657887371,1023,361,61
1657887373,1023,362,61
1657887375,1020,358,60
1657887377,1023,363,55
1657887379,1023,367,53
1657887381,1023,375,50
1657887383,1019,362,50
